prov_id,treat
17zzz9,0
18z115,0
18z128,0
18z13z,0
18z141,0
18z1z3,0
18z1z5,0
18z1z6,0
18zz1z,0
18zz21,0
18zz25,0
18zz35,0
18zz45,0
18zz4z,0
18zz51,0
18zz53,0
18zz56,0
18zz67,0
18zz79,0
18zz7z,0
18zz87,0
18zz88,0
18zz92,0
18zz95,0
18zzz1,0
18zzz4,0
19z111,0
19z116,0
19z118,0
19z122,0
19z145,0
19z146,0
19z14z,0
19z161,0
19z16z,0
19z176,0
19z177,0
19z2z4,0
19z2z5,0
19zz11,0
19zz13,0
19zz14,0
19zz25,0
19zz26,0
19zz2z,0
19zz34,0
19zz36,0
19zz39,0
19zz45,0
19zz46,0
19zz4z,0
19zz53,0
19zz5z,0
19zz64,0
19zz79,0
19zz81,0
19zz98,0
19zzz2,0
19zzz4,0
19zzz5,0
19zzz6,0
19zzz7,0
19zzz9,0
1z112,0
1z113,0
1z11z,0
1z125,0
1z129,0
1z139,0
1z13z,0
1z144,0
1z146,0
1z148,0
1z1z3,0
1z1z4,0
1z1z9,0
1zz11,0
1zz113,0
1zz117,0
1zz11z,0
1zz121,0
1zz124,0
1zz125,0
1zz126,0
1zz127,0
1zz131,0
1zz132,0
1zz135,0
1zz142,0
1zz14z,0
1zz154,0
1zz166,0
1zz173,0
1zz175,0
1zz177,0
1zz181,0
1zz183,0
1zz189,0
1zz1z2,0
1zz1z6,0
1zz1z7,0
1zz21,0
1zz213,0
1zz21z,0
1zz223,0
1zz224,0
1zz226,0
1zz228,0
1zz23,0
1zz231,0
1zz23z,0
1zz242,0
1zz243,0
1zz244,0
1zz246,0
1zz255,0
1zz259,0
1zz264,0
1zz265,0
1zz266,0
1zz267,0
1zz27,0
1zz276,0
1zz277,0
1zz281,0
1zz2z6,0
1zz2z9,0
1zz2zz,0
1zz34,0
1zz36,0
1zz39,0
1zz43,0
1zz49,0
1zz51,0
1zz58,0
1zz62,0
1zz66,0
1zz73,0
1zz78,0
1zz79,0
1zz86,0
1zz87,0
1zz89,0
1zz92,0
1zz95,0
1zz97,0
1zz99,0
1zzz12,0
1zzz18,0
1zzz25,0
1zzz26,0
1zzz28,0
1zzz34,0
1zzz35,0
1zzz38,0
1zzz3z,0
1zzz43,0
1zzz44,0
1zzz4z,0
1zzz51,0
1zzz52,0
1zzz53,0
1zzz54,0
1zzz57,0
1zzz5z,0
1zzz62,0
1zzz63,0
1zzz67,0
1zzz7,0
1zzz71,0
1zzz73,0
1zzz75,0
1zzz7z,0
1zzz84,0
1zzz86,0
1zzz92,0
1zzz93,0
1zzzz6,0
1zzzz7,0
21zz11,0
21zz12,0
21zz15,0
21zz16,0
21zz17,0
21zz18,0
21zz19,0
21zz22,0
21zz23,0
21zz32,0
21zz35,0
21zz3z,0
21zz43,0
21zz44,0
21zz45,0
21zz48,0
21zz49,0
21zz4z,0
21zz51,0
21zz54,0
21zz55,0
21zz57,0
21zz61,0
21zzz1,0
21zzz3,0
21zzz4,0
21zzz5,0
21zzz6,0
21zzz8,0
22z119,0
22z135,0
22z1z8,0
22zz12,0
22zz15,0
22zz17,0
22zz46,1
22zz52,0
22zz67,0
22zz86,0
23z118,0
23z11z,0
23z133,0
23z13z,1
23z141,0
23z151,1
23z156,0
23z18z,0
23z1z1,0
23z1z8,0
23z212,0
23z239,0
23z23z,0
23z241,0
23z269,1
23zz15,0
23zz17,0
23zz19,1
23zz29,1
23zz2z,1
23zz31,0
23zz46,0
23zz53,1
23zz55,0
23zz58,0
23zz59,1
23zz66,1
23zz75,0
23zz81,0
23zz85,0
23zz97,1
23zzz4,1
24z132,0
24z166,0
24z1z1,0
24z1z4,0
24z1z6,0
24z21z,0
24z2z6,0
24z2z7,0
24zz14,0
24zz19,0
24zz1z,0
24zz22,0
24zz38,0
24zz43,0
24zz44,0
24zz4z,0
24zz53,0
24zz57,0
24zz61,0
24zz63,0
24zz66,0
24zz76,0
24zz84,0
24zz8z,0
24zzz1,0
24zzz2,0
24zzz4,0
25z123,0
25z124,0
25z126,0
25z127,0
25z128,0
25z141,0
25z1z2,0
25zz19,0
25zz1z,0
25zz2z,0
25zz36,0
25zz38,0
25zz48,0
25zz57,0
25zz59,0
25zz5z,0
25zz67,0
25zz85,0
